ASTON MARTIN,DB9,0,47,0.0000,2012,Car
ASTON MARTIN,DBS,0,106,0.0000,2012,Car
ASTON MARTIN,RAPIDE,0,210,0.0000,2012,Car
ASTON MARTIN,V12 VANTAGE,0,85,0.0000,2012,Car
ASTON MARTIN,V8 VANTAGE,0,306,0.0000,2012,Car
ASTON MARTIN,VIRAGE,0,302,0.0000,2012,Car
BMW,M6,0,252,0.0000,2012,Car
BMW,Z4,0,2203,0.0000,2012,Car
ROLLS ROYCE,GHOST,0,764,0.0000,2012,Car
ROLLS ROYCE,PHANTOM,0,53,0.0000,2012,Car
FERRARI,458,0,685,0.0000,2012,Car
FERRARI,CALIFORNIA,0,566,0.0000,2012,Car
FERRARI,FF,0,259,0.0000,2012,Car
MASERATI,QUATTROPORTE,0,519,0.0000,2012,Car
CODA AUTOMOTIVE,CODA,0,115,0.0000,2012,Car
SAAB,9-4X,0,26,0.0000,2012,MPV
HONDA,ACURA RL,0,398,0.0000,2012,Car
LOTUS,EVORA,0,146,0.0000,2012,Car
MCLAREN,MP4-12C,0,697,0.0000,2012,Car
MERCEDES-BENZ,B-CLASS,0,25,0.0000,2012,Car
MERCEDES-BENZ,SL-CLASS,0,928,0.0000,2012,Car
MERCEDES-BENZ,SLS-CLASS,0,1275,0.0000,2012,Car
NISSAN,GT-R,0,1228,0.0000,2012,Car
NISSAN,LEAF,0,11460,0.0000,2012,Car
PORSCHE,BOXSTER,0,754,0.0000,2012,Car
PORSCHE,CAYMAN,0,1022,0.0000,2012,Car
SUZUKI,EQUATOR PICKUP,0,2392,0.0000,2012,Truck
TELSA,MODEL S,0,2952,0.0000,2012,Car
TOYOTA,LEXUS HS,0,503,0.0000,2012,Car
AUDI,AUDI R8,0,1272,0.0000,2012,Car
AUDI,AUDI TT,0,2259,0.0000,2012,Car
BENTLEY MOTORS,MULSANNE,0,233,0.0000,2012,Car
BUGATTI,VEYRON,0,5,0.0000,2012,Car
LAMBORGHINI,AVENTADOR COUPE,0,252,0.0000,2012,Car
LAMBORGHINI,GALLARDO,0,285,0.0000,2012,Car
BYD,e6,0,11,0.0000,2012,Car
HYUNDAI,EQUUS,1,2848,0.3511,2012,Car
JAGUAR LAND ROVER,LAND ROVER LR2,1,2921,0.3423,2012,MPV
NISSAN,INFINITI EX35,1,3734,0.2678,2012,Car
HYUNDAI,AZERA,1,7745,0.1291,2012,Car
BMW,B7,1,492,2.0325,2012,Car
MITSUBISHI,I-MIEV,1,1435,0.6969,2012,Car
SUBARU,TRIBECA,1,2085,0.4796,2012,MPV
BMW,M3,1,2170,0.4608,2012,Car
HONDA,ACURA ZDX,2,1122,1.7825,2012,MPV
JAGUAR LAND ROVER,XK/XKR,2,1323,1.5117,2012,Car
BENTLEY MOTORS,CONTINENTAL,2,2060,0.9709,2012,Car
GENERAL MOTORS,CHEVROLET VOLT,2,18355,0.1090,2012,Car
VOLKSWAGEN,EOS,2,11140,0.1795,2012,Car
HYUNDAI,VERACRUZ,2,8560,0.2336,2012,MPV
SUZUKI,KIZASHI,2,6331,0.3159,2012,Car
NISSAN,CUBE,2,6021,0.3322,2012,Car
MERCEDES-BENZ,SLK-CLASS,2,4953,0.4038,2012,Car
MERCEDES-BENZ,SMART FORTWO,2,5035,0.3972,2012,Car
TOYOTA,SCION iQ,3,9744,0.3079,2012,Car
VOLVO,C30,3,2841,1.0560,2012,Car
MASERATI,GRANTURISMO,3,1953,1.5361,2012,Car
VOLVO,XC90,3,1377,2.1786,2012,MPV
MAZDA,MX-5 MIATA,3,6501,0.4615,2012,Car
HONDA,INSIGHT,3,6723,0.4462,2012,Car
VOLVO,XC70,3,5507,0.5448,2012,MPV
BMW,1,4,8770,0.4561,2012,Car
AUDI,AUDI S4/S5,4,7710,0.5188,2012,Car
HONDA,CR-Z,4,5609,0.7131,2012,Car
VOLVO,S80,4,3748,1.0672,2012,Car
FORD MOTOR CO,LINCOLN MKS,5,6890,0.7257,2012,Car
NISSAN,370Z,5,6271,0.7973,2012,Car
JAGUAR LAND ROVER,XF,5,6288,0.7952,2012,Car
JAGUAR LAND ROVER,LAND ROVER EVOQUE,5,9075,0.5510,2012,MPV
PORSCHE,911,5,8114,0.6162,2012,Car
HONDA,ACURA RDX,5,8786,0.5691,2012,MPV
VOLVO,XC60,5,16144,0.3097,2012,MPV
TOYOTA,LEXUS CT,6,21668,0.2769,2012,Car
AUDI,AUDI A6,6,18374,0.3265,2012,Car
TOYOTA,FJ CRUISER,6,14852,0.4040,2012,MPV
AUDI,AUDI Q7,6,8951,0.6703,2012,Car
VOLVO,C70,7,4787,1.4623,2012,Car
JAGUAR LAND ROVER,XJ,7,5158,1.3571,2012,Car
FORD MOTOR CO,TRANSIT CONNECT VAN,7,43125,0.1623,2012,MPV
GENERAL MOTORS,BUICK VERANO,8,32639,0.2451,2012,Car
SUZUKI,GRAND VITARA,8,6923,1.1556,2012,MPV
TOYOTA,LEXUS LS,8,8102,0.9874,2012,Car
BMW,X3,8,14543,0.5501,2012,Truck
FORD MOTOR CO,FLEX,9,20181,0.4460,2012,MPV
AUDI,AUDI A3,9,7287,1.2351,2012,Car
AUDI,AUDI A8,10,4538,2.2036,2012,Car
FORD MOTOR CO,LINCOLN MKX,10,17121,0.5841,2012,MPV
VOLKSWAGEN,GOLF,10,25207,0.3967,2012,Car
HONDA,FIT,11,50757,0.2167,2012,Car
TOYOTA,LEXUS ES,11,32739,0.3360,2012,Car
MITSUBISHI,LANCER,11,16958,0.6487,2012,Car
NISSAN,XTERRA,11,22343,0.4923,2012,MPV
MAZDA,CX-7,11,7945,1.3845,2012,MPV
VOLKSWAGEN,BEETLE,12,30622,0.3919,2012,Car
AUDI,AUDI Q5,12,33880,0.3542,2012,Car
NISSAN,JUKE,13,37933,0.3427,2012,Car
PORSCHE,PANAMERA,13,7056,1.8424,2012,Car
MITSUBISHI,OUTLANDER,14,21288,0.6576,2012,MPV
VOLKSWAGEN,GTI,14,18586,0.7533,2012,Car
AUDI,AUDI A7,15,11768,1.2746,2012,Car
CHRYSLER,DODGE CALIBER,15,10953,1.3695,2012,Car
VOLKSWAGEN,TIGUAN,16,29862,0.5358,2012,MPV
TOYOTA,LEXUS IS,17,31725,0.5359,2012,Car
TOYOTA,VENZA,17,23128,0.7350,2012,MPV
GENERAL MOTORS,CHEVROLET CORVETTE,17,11144,1.5255,2012,Car
MERCEDES-BENZ,CL-CLASS,17,827,20.5562,2012,Car
TOYOTA,AVALON,18,20938,0.8597,2012,Car
AUDI,AUDI A4/A5,18,37744,0.4769,2012,Car
GENERAL MOTORS,CADILLAC SRX,18,67705,0.2659,2012,MPV
HONDA,CROSSTOUR,19,26934,0.7054,2012,MPV
BMW,6,19,5609,3.3874,2012,Car
SUZUKI,SX4,20,15617,1.2807,2012,Car
HYUNDAI,VELOSTER,20,30980,0.6456,2012,Car
MAZDA,CX-9,20,32980,0.6064,2012,MPV
NISSAN,QUEST VAN,20,21388,0.9351,2012,MPV
VOLVO,S60,22,34378,0.6399,2012,Car
GENERAL MOTORS,GMC CANYON PICKUP,22,13690,1.6070,2012,Truck
BMW,7,23,13696,1.6793,2012,Car
SUBARU,LEGACY,23,39094,0.5883,2012,Car
NISSAN,MURANO,23,58188,0.3953,2012,MPV
HONDA,ACURA TL,24,53260,0.4506,2012,Car
BMW,MINI COOPER,24,70328,0.3413,2012,Car
HONDA,ACURA MDX,24,50568,0.4746,2012,MPV
KIA,SEDONA VAN,24,33319,0.7203,2012,MPV
HONDA,ACURA TSX,24,36921,0.6500,2012,Car
TOYOTA,SCION tC,24,21188,1.1327,2012,Car
GENERAL MOTORS,BUICK REGAL,26,26003,0.9999,2012,Car
VOLKSWAGEN,CC,26,29350,0.8859,2012,Car
HYUNDAI,TUCSON,27,57218,0.4719,2012,MPV
TOYOTA,SCION xB,27,44722,0.6037,2012,Car
SUBARU,FORESTER,27,64142,0.4209,2012,MPV
FORD MOTOR CO,LINCOLN MKZ,28,37676,0.7432,2012,Car
NISSAN,INFINITI M35H/M37/M56,28,13731,2.0392,2012,Car
MERCEDES-BENZ,S-CLASS,29,11443,2.5343,2012,Car
BMW,3,29,43714,0.6634,2012,Car
SUBARU,OUTBACK WAGON,29,97633,0.2970,2012,MPV
CHRYSLER,JEEP COMPASS,30,43360,0.6919,2012,MPV
TOYOTA,LEXUS RX,30,65554,0.4576,2012,MPV
MAZDA,5,31,32530,0.9530,2012,Car
MAZDA,2,32,16169,1.9791,2012,Car
KIA,SPORTAGE,33,41590,0.7935,2012,MPV
CHRYSLER,JEEP PATRIOT,34,59849,0.5681,2012,MPV
MITSUBISHI,ECLIPSE,34,6186,5.4963,2012,Car
KIA,RIO,34,25441,1.3364,2012,Car
NISSAN,INFINITI FX35/FX50,35,8902,3.9317,2012,MPV
SUBARU,IMPREZA,35,67058,0.5219,2012,Car
GENERAL MOTORS,CHEVROLET COLORADO PICKUP,36,50765,0.7092,2012,Truck
MERCEDES-BENZ,E-CLASS,38,50591,0.7511,2012,Car
NISSAN,FRONTIER PICKUP,39,71502,0.5454,2012,Truck
HYUNDAI,GENESIS,41,37741,1.0864,2012,Car
HONDA,PILOT,42,42657,0.9846,2012,MPV
GENERAL MOTORS,GMC TERRAIN,44,100103,0.4395,2012,MPV
MERCEDES-BENZ,GLK-CLASS,45,26554,1.6947,2012,MPV
NISSAN,PATHFINDER,47,15765,2.9813,2012,MPV
HYUNDAI,SANTA FE,49,59411,0.8248,2012,MPV
GENERAL MOTORS,BUICK LACROSSE,50,60891,0.8211,2012,Car
FORD MOTOR CO,FIESTA,50,59978,0.8336,2012,Car
GENERAL MOTORS,CADILLAC CTS,51,52531,0.9709,2012,Car
BMW,5,53,43103,1.2296,2012,Car
TOYOTA,SIENNA VAN,55,112906,0.4871,2012,MPV
FORD MOTOR CO,EDGE,56,75972,0.7371,2012,MPV
KIA,SORENTO,60,107269,0.5593,2012,MPV
FIAT,500,60,60935,0.9847,2012,Car
CHRYSLER,DODGE JOURNEY,62,77471,0.8003,2012,Car
TOYOTA,RAV4,62,170414,0.3638,2012,MPV
CHRYSLER,JEEP WRANGLER,64,141387,0.4527,2012,MPV
TOYOTA,TACOMA PICKUP,65,127812,0.5086,2012,Truck
MITSUBISHI,GALANT,67,18600,3.6022,2012,Car
TOYOTA,PRIUS,67,220571,0.3038,2012,Car
HONDA,CR-V,68,230293,0.2953,2012,MPV
TOYOTA,HIGHLANDER,68,132822,0.5120,2012,MPV
GENERAL MOTORS,CHEVROLET SONIC,69,83979,0.8216,2012,Car
FORD MOTOR CO,TAURUS,69,39314,1.7551,2012,Car
NISSAN,ROGUE,76,140561,0.5407,2012,MPV
HYUNDAI,ACCENT,80,73458,1.0891,2012,Car
MERCEDES-BENZ,C- CLASS,84,76638,1.0961,2012,Car
NISSAN,INFINITI G25/G37,85,56585,1.5022,2012,Car
GENERAL MOTORS,CHEVROLET EQUINOX,87,220965,0.3937,2012,MPV
KIA,SOUL,94,100672,0.9337,2012,Car
KIA,FORTE,106,72284,1.4664,2012,Car
VOLKSWAGEN,PASSAT,107,95583,1.1194,2012,Car
GENERAL MOTORS,CHEVROLET CAPTIVA,112,31797,3.5223,2012,MPV
CHRYSLER,JEEP LIBERTY,124,104184,1.1902,2012,MPV
HYUNDAI,ELANTRA,125,169256,0.7385,2012,Car
MAZDA,3,129,142875,0.9029,2012,Car
NISSAN,MAXIMA,129,65150,1.9800,2012,Car
KIA,OPTIMA,132,106747,1.2366,2012,Car
CHRYSLER,DODGE CHALLENGER,143,43080,3.3194,2012,Car
TOYOTA,YARIS,166,54886,3.0245,2012,Car
VOLKSWAGEN,JETTA,176,178153,0.9879,2012,Car
FORD MOTOR CO,MUSTANG,178,80487,2.2115,2012,Car
FORD MOTOR CO,ESCAPE,199,238713,0.8336,2012,MPV
MAZDA,6,202,40004,5.0495,2012,Car
NISSAN,SENTRA,229,139585,1.6406,2012,Car
CHRYSLER,300,232,60287,3.8483,2012,Car
GENERAL MOTORS,CHEVROLET CAMARO,249,80707,3.0852,2012,Car
HYUNDAI,SONATA,264,230381,1.1459,2012,Car
NISSAN,VERSA,272,149418,1.8204,2012,Car
HONDA,ACCORD,275,325034,0.8461,2012,Car
GENERAL MOTORS,CHEVROLET CRUZE,297,270622,1.0975,2012,Car
TOYOTA,COROLLA,304,197973,1.4257,2012,Car
CHRYSLER,DODGE CHARGER,316,66432,4.7567,2012,Car
CHRYSLER,DODGE AVENGER,329,85365,3.8540,2012,Car
HONDA,CIVIC,333,455627,0.7309,2012,Car
CHRYSLER,200,352,121175,2.9049,2012,Car
FORD MOTOR CO,FUSION,371,308520,1.2025,2012,Car
FORD MOTOR CO,FOCUS,413,318556,1.2965,2012,Car
GENERAL MOTORS,CHEVROLET MALIBU,509,225791,2.2543,2012,Car
TOYOTA,CAMRY,547,523846,1.0442,2012,Car
GENERAL MOTORS,CHEVROLET IMPALA,604,165986,3.6389,2012,Car
NISSAN,ALTIMA,760,313956,2.4207,2012,Car

